Project Title,Project Slug,Industry/Domain,Summary,Full Description,Tech Used,Role(s),Live Site URL,GH Repo,Case Study Links,Other Links,Screenshots/Images,Created Date,Display Order
TP Lists,Travelpass Lists,,"Travelpass Users can create, organize, and share interactive travel guides (called Lists) with photos and notes.","### Overview  
The List Builder enables Travelpass users to turn travel ideas into interactive, shareable guides.  

### Features  
Users can:  
- Add a **cover photo** that displays in the list header  
- Add any number of **events** with photos and notes  
- Create **custom sections** to group events by theme  
- **Drag and drop** to reorder sections or events  
- Add **tags** to improve list discoverability  
- **Like, share, and save** lists with other Travelpass users  
- View metrics for **likes, shares, saves, and views**  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQL",,FE Dev,https://travelpass.com/lists/01J8G9JTNFA2J0?name=Star-Wars-Filming-Locations,None,,,,,
TP Dashboard,Travelpass Dashboard,,"Travelpass Users' central hub to manage their profile, lists, saved content, and bookings.","### Overview  
The Dashboard serves as the personalized home base for every Travelpass user. It consolidates profile management, content discovery, and bookings into a single, intuitive interface.  

### Features  
Users can:  
- See **profile completion status** and fill out missing information  
- View **suggested travelers** and follow/unfollow them  
- Browse a live **Feed** of followed users and their updates to Lists  
- View and manage their own **Lists** (create, edit, and update in one place)  
- Access all **Saved content** (Hotels, Experiences, Lists, and List Events) in a unified view  
- See and manage **upcoming and past bookings** directly in the dashboard  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQL  ",,FE Dev,https://travelpass.com/dashboard,None,,,,,
TP Profiles Refactor,Travelpass Profiles,,"Travelpass Users to manage their travel identity, connections, and shared content in one place.","### Overview  
Profiles give every Travelpass user a personal space to manage their information, showcase their travel style, and connect with other travelers.  

### Features  
Users can:  
- See and edit their **profile information** (if viewing their own page)  
- **Share** their profile with others  
- Manage **followers and following** lists  
- See and edit **Travel Style tags**  
- Track and update **Countries Visited**  
- View and edit all their **Lists** in one place  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite 
- **Data Layer:** GraphQL",,FE Dev,https://travelpass.com/profile/matt,None,,,,,
SW 1,Star Wars Archive 1,,"My first solo project: a Star Wars archive app built to learn React, showcasing characters, films, planets, and more.","### Overview  
SW-Archive was my first solo project, created as a learning exercise while teaching myself React. It’s a Star Wars “pokedex-style” archive that lets fans explore films, characters, planets, species, vehicles, and starships through a clean and simple UI.  

### Features  
Users can:  
- Browse categories like **Films, Characters, Planets, Species, Vehicles, Starships**  
- Click into entries to view metadata, descriptions, and related connections  
- Explore relationships (e.g. which characters appear in which films)  
- Share direct links to specific entries  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** REST API (SWAPI)
- **Deployment:** Vercel",,FE Dev,https://sw-archive.vercel.app/,https://github.com/Matt-Hulme/sw-archive,,,,,
SW 2,Star Wars Archive 2,,"Rebuilt my first solo Star Wars archive app one year later, showcasing growth in React, TypeScript, and modern front-end practices.
","### Overview  
When I started learning front-end development, I built a simple Star Wars archive app (V1) to practice React. Almost a year later, I rebuilt it (V2) to measure how much I’d grown. The project acts like a Star Wars “pokedex,” letting users browse films, characters, planets, starships, and more.  

### Improvements from V1 → V2  
- **TypeScript vs JavaScript**: V2 fully typed for better maintainability.  
- **Responsive Design**: V2 optimized for mobile; V1 was desktop-only.  
- **Data Layer**: V2 used GraphQL (all data at once); V1 used Fetch + pagination.  
- **Styling**: V2 used TailwindCSS; V1 relied on a single monolithic CSS file.  
- **Component Libraries**: V2 integrated Material UI; V1 was fully custom-built.  
- **Reusable Components**: V2 introduced shared components (e.g. `DetailsHeaderPanel`) to reduce duplication.  
- **Routing & Params**: V2 improved URL handling and navbar highlighting.  
- **Error Handling**: V2 added styled 404 and “not found” pages instead of Vercel defaults.  
- **Design Choices**: V2 adopted a cleaner design (less border-radius overuse).  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQ
- **UI Library:** Material UI
- **Deployment:** Vercel  


- Currently, the GraphQL endpoint used by V2 has lost support, so some detail queries return null fields :'(",,FE Dev,https://starwars-archive.vercel.app/ (graphql endpoint broken),https://github.com/Matt-Hulme/starwars-archive,,,,,
React Scratch Map,Where Have You Traveled,,"An interactive tool that lets users track visited countries, view stats, and save progress with Firebase.","### Overview  
Scratch Map is an interactive travel tracker that helps users visualize where they’ve been around the world. By clicking on countries on the map, users can instantly see their total count and a personalized list of visited destinations. The project combines data visualization with persistence through account-based saving.  

### Features  
Users can:  
- Click on countries to **mark them as visited**  
- See live updates in the **visited countries panel** with counts and a personalized list  
- **Save their selections** by creating an account with Firebase Auth  
- Sync and load saved data through the **Firebase Realtime Database**  
- Explore their travel history through an integrated **Google Maps API**  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite  
- **Auth & Database:** Firebase Auth, Firebase Realtime Database  
- **APIs:** Google Maps API  
- **Deployment:** Vercel  

### Notes  
- This project prioritized **functionality over aesthetics** as a way to practice API integration, data persistence, and state management.  
- Designers may cringe at the design, but it was a deliberate choice to focus on learning.  ",,FE Dev,https://scratch-map-react.vercel.app/,https://github.com/Matt-Hulme/scratch-map-react,,,,,
Brainstormer,Brainstormer,,An AI-powered creative assistant that generates related or overlapping concepts to spark new ideas.  ,"### Overview  
Brainstormer is an AI-powered ideation tool designed to help users explore creative connections between concepts. By entering one or more topics, the system would use a large language model to generate either related ideas (OR mode) or overlapping connections (AND mode). The goal was to support writers, entrepreneurs, and creatives in unlocking new directions during early brainstorming.  

Though my brother and I eventually closed the project after early user testing, it was one of the most enjoyable and ambitious builds I’ve worked on, combining modern front-end development with AI integration and custom backend services.  

### Features  
Users could:  
- Enter one or more **concepts** to generate new, related ideas  
- Switch between **“OR mode”** (connections to either concept) and **“AND mode”** (overlapping aspects of both)  
- Explore generated lists of concepts and refine their brainstorming process  
- Interact with a lightweight, responsive interface optimized for creative flow  

### Tech Stack  
- **Frontend:** TypeScript, React, TailwindCSS, Vite  
- **Backend:** FastAPI, Pydantic, Python-Multipart, Uvicorn  
- **AI Integration:** OpenAI API  
- **Deployment:** Dockerized and hosted on a private VPS  

### Notes  
- This was one of my most **fun experimental projects**, intended as a real business concept.  
- Early testing provided valuable lessons on product-market fit, prompting us to pivot away.  
- Still, Brainstormer served as an important project for sharpening my **AI integration skills** and full-stack deployment experience.  
",,Fullstack Dev,None,https://github.com/Matt-Hulme/brainstormer,,,,,
Deliberate Agentic Development,Deliberate Agentic Development,,"An AI-led Development Framework, guiding AI coding assistants through checkpoints with human oversight.  ","### Overview  
Deliberate Agentic Development is an open-source framework I built to bring structure and accountability to AI-assisted software development. Instead of letting AI coding agents operate freely, it provides a deliberate methodology with checkpoints, reviews, and human-in-the-loop oversight. The aim was to make AI pair programming more reliable and transparent while keeping developers in control.  

### Features  
The framework provides:  
- A **Plan → Build → Ship** workflow for AI-assisted coding tasks  
- Defined **checkpoints** where outputs must be reviewed before proceeding  
- Clear **human oversight points** to reduce risk and improve quality  
- Guidance for using AI tools such as **Claude Code, Cursor, and Codex**  
- A repeatable methodology to improve trust, reproducibility, and maintainability  

### Tech Stack  
- **Format:** Markdown Agentic Instructions files.


### Notes  
- This project is not a traditional codebase, but a set of **instructions and best practices**.  
- It reflects my ongoing focus on **AI + developer tooling**, and how to align emerging agentic workflows with real-world software engineering standards.",,Fullstack Dev; AI-led Development,None,https://github.com/Matt-Hulme/deliberate-agentic-development,,,,,
Hotel Name Shortener,Hotel Name Shortener,,"An AI-powered tool that uses LLMs to automatically abbreviate hotel names for ad compliance.  
","### Overview  
The Hotel Name Shortener is a Python + AWS Lambda service I co-built and managed to help our Search Engine Marketing team comply with Google and Bing Ads character limits. I designed the system architecture, established coding standards, and contributed significantly to the codebase while managing another developer who handled much of the implementation. The tool automatically shortened and reformatted hotel names while preserving the most important information.  

### Features  
- Accept **unformatted, long hotel names** as input  
- Generate **abbreviated hotel names** within policy limits  
- Apply **priority rules** defined by the SEM team to preserve key content  
- Run as an **automated Lambda function**, processing names at scale  
- Store and log results in **Snowflake** for auditing and analysis  
- Feed standardized output into **Tableau dashboards** for monitoring and analysis  

### Tech Stack  
- **Language/Framework:** Python, LangChain, OpenAI API  
- **Infrastructure:** AWS Lambda  
- **Database:** Snowflake  
- **Analytics & Visualization:** Tableau  

### Notes  
- I led the project, managing another developer while maintaining standards and contributing to the core architecture and code.  
- Significantly reduced manual editing time for the SEM team.  
- Guaranteed compliance with ad policy while preserving marketing value.",,Applied-AI Engineer; Team Lead; Data Engineer; Marketing Engineer (not sure on the name of this last one),None,None,,,,,
Hotel Address Shortener,Hotel Address Shortener,,"An AI-powered tool that uses LLMs to automatically abbreviate hotel names for ad compliance.  
","### Overview  
The Hotel Address Shortener is a Python + AWS Lambda service I designed and co-built to help our Search Engine Marketing team comply with Google and Bing Ads character limits. I created the system architecture, maintained coding standards, and contributed major portions of the implementation while managing another developer on the project. The tool ensured concise, compliant addresses at scale while preserving key travel information.  

### Features  
- Accept **raw hotel addresses** as input  
- Generate **shortened, standardized addresses** within ad limits  
- Follow **SEM team rules** for prioritizing address elements (city, state, landmark, etc.)  
- Run as an **AWS Lambda** for seamless automation  
- Write results to **Snowflake** for reporting and QA  
- Feed standardized output into **Tableau dashboards** for monitoring and analysis  

### Tech Stack  
- **Language/Framework:** Python, LangChain, OpenAI API  
- **Infrastructure:** AWS Lambda  
- **Database:** Snowflake  
- **Analytics & Visualization:** Tableau  

### Notes  
- I led the project, managing another developer while contributing heavily to the architecture and core implementation.  
- Reduced compliance issues in ads by standardizing addresses.  
- Helped scale SEM campaigns by automating what was previously manual QA.  ",,Applied-AI Engineer; Team Lead; Data Engineer; Marketing Engineer (not sure on the name of this last one),None,None,,,,,
